Game Date,.,Opponent,Team,Opp.,Result,Other,Att.,W-L-OT,Streak,Pctâ€ 
10/16/2021,vs.,Dallas,3,1,Win,,17,850,1-0-0,W1,1.000
10/20/2021,at,Philadelphia,3,6,Loss,,15,310,1-1-0,L1,0.500
10/22/2021,at,Buffalo,4,1,Win,,7,820,2-1-0,W1,0.667
10/24/2021,vs.,San Jose,4,3,Win,,17,850,3-1-0,W2,0.750
10/27/2021,at,Florida,1,4,Loss,,12,306,3-2-0,L1,0.600
10/28/2021,at,Carolina,0,3,Loss,,16,093,3-3-0,L2,0.500
10/30/2021,vs.,Florida,3,2,Win,SO,17,850,4-3-0,W1,0.514
11/04/2021,vs.,Detroit,5,1,Win,,17,850,5-3-0,W2,0.575
11/06/2021,at,Toronto,2,5,Loss,,19,077,5-4-0,L1,0.511
11/09/2021,vs.,Ottawa,3,2,Win,,17,850,6-4-0,W1,0.560
11/11/2021,vs.,Edmonton,3,5,Loss,,17,850,6-5-0,L1,0.509
11/13/2021,at,New Jersey,5,2,Win,,16,514,7-5-0,W1,0.550
11/14/2021,vs.,Montreal,5,2,Win,,17,850,8-5-0,W2,0.585
11/20/2021,at,Philadelphia,5,2,Win,,19,644,9-5-0,W3,0.614
11/21/2021,vs.,Calgary,0,4,Loss,,17,850,9-6-0,L1,0.573
11/24/2021,at,Buffalo,5,1,Win,,9,416,10-6-0,W1,0.600
11/26/2021,vs.,NY Rangers,2,5,Loss,,17,850,10-7-0,L1,0.565
11/28/2021,vs.,Vancouver,3,2,Win,,17,850,11-7-0,W1,0.589
11/30/2021,vs.,Detroit,1,2,Loss,,17,850,11-8-0,L1,0.558
12/02/2021,at,Nashville,2,0,Win,,17,159,12-8-0,W1,0.580
12/04/2021,vs.,Tampa Bay,2,3,OTL,OT,17,850,12-8-1,L1,0.562
12/08/2021,at,Vancouver,1,2,SOL,SO,18,403,12-8-2,L2,0.555
12/09/2021,at,Edmonton,3,2,Win,,16,112,13-8-2,W1,0.574
12/11/2021,at,Calgary,4,2,Win,,16,190,14-8-2,W2,0.592
12/14/2021,vs.,Vegas,1,4,Loss,,17,850,14-9-2,L1,0.568
12/16/2021,at,NY Islanders,1,3,Loss,,17,255,14-10-2,L2,0.546
01/01/2022,vs.,Buffalo,4,3,Win,OT,17,850,15-10-2,W1,0.556
01/02/2022,at,Detroit,5,1,Win,,17,973,16-10-2,W2,0.571
01/04/2022,vs.,New Jersey,5,3,Win,,17,850,17-10-2,W3,0.586
01/06/2022,vs.,Minnesota,2,3,Loss,,17,850,17-11-2,L1,0.567
01/08/2022,at,Tampa Bay,5,2,Win,,19,092,18-11-2,W1,0.581
01/10/2022,at,Washington,7,3,Win,,18,573,19-11-2,W2,0.594
01/12/2022,vs.,Montreal,5,1,Win,,17,850,20-11-2,W3,0.606
01/13/2022,vs.,Philadelphia,3,2,Win,,17,850,21-11-2,W4,0.618
01/15/2022,vs.,Nashville,4,3,Win,OT,17,850,22-11-2,W5,0.623
01/18/2022,vs.,Carolina,1,7,Loss,,17,850,22-12-2,L1,0.606
01/20/2022,vs.,Washington,4,3,Win,,17,850,23-12-2,W1,0.616
01/22/2022,vs.,Winnipeg,3,2,Win,,17,850,24-12-2,W2,0.626
01/24/2022,vs.,Anaheim,3,5,Loss,,17,850,24-13-2,L1,0.610
01/26/2022,at,Colorado,3,4,OTL,OT,18,041,24-13-3,L2,0.600
01/28/2022,at,Arizona,2,1,Win,,12,994,25-13-3,W1,0.610
01/30/2022,at,Dallas,1,6,Loss,,17,954,25-14-3,L1,0.595
02/01/2022,vs.,Seattle,3,2,Win,,17,850,26-14-3,W1,0.605
02/08/2022,vs.,Pittsburgh,2,4,Loss,,17,850,26-15-3,L1,0.591
02/10/2022,vs.,Carolina,0,6,Loss,,17,850,26-16-3,L2,0.578
02/12/2022,at,Ottawa,2,0,Win,,500,27-16-3,W1,0.587
02/15/2022,at,NY Rangers,1,2,SOL,SO,15,403,27-16-4,L1,0.583
02/17/2022,at,NY Islanders,1,4,Loss,,16,518,27-17-4,L2,0.571
02/19/2022,at,Ottawa,3,2,Win,OT,5,212,28-17-4,W1,0.576
02/21/2022,vs.,Colorado,5,1,Win,,17,850,29-17-4,W2,0.584
02/24/2022,at,Seattle,3,2,Win,OT,17,151,30-17-4,W3,0.588
02/26/2022,at,San Jose,3,1,Win,,17,260,31-17-4,W4,0.596
02/28/2022,at,Los Angeles,7,0,Win,,16,067,32-17-4,W5,0.604
03/01/2022,at,Anaheim,3,4,Loss,,11,567,32-18-4,L1,0.593
03/03/2022,at,Vegas,5,2,Win,,18,109,33-18-4,W1,0.600
03/05/2022,at,Columbus,5,4,Win,SO,19,434,34-18-4,W2,0.600
03/07/2022,vs.,Los Angeles,2,3,OTL,OT,17,850,34-18-5,L1,0.593
03/10/2022,vs.,Chicago,4,3,Win,,17,850,35-18-5,W1,0.600
03/12/2022,vs.,Arizona,3,2,Win,,17,850,36-18-5,W2,0.607
03/15/2022,at,Chicago,2,1,Win,OT,19,629,37-18-5,W3,0.610
03/16/2022,at,Minnesota,2,4,Loss,,17,956,37-19-5,L1,0.600
03/18/2022,at,Winnipeg,4,2,Win,,14,191,38-19-5,W1,0.606
03/21/2022,at,Montreal,3,2,Win,OT,20,922,39-19-5,W2,0.610
03/24/2022,vs.,Tampa Bay,3,2,Win,,17,850,40-19-5,W3,0.616
03/26/2022,vs.,NY Islanders,6,3,Win,,17,850,41-19-5,W4,0.622
03/29/2022,vs.,Toronto,4,6,Loss,,17,850,41-20-5,L1,0.612
03/31/2022,vs.,New Jersey,8,1,Win,,17,850,42-20-5,W1,0.618
04/02/2022,vs.,Columbus,5,2,Win,,17,850,43-20-5,W2,0.624
04/04/2022,at,Columbus,3,2,Win,OT,16,396,44-20-5,W3,0.626
04/05/2022,at,Detroit,3,5,Loss,,15,734,44-21-5,L1,0.617
04/08/2022,at,Tampa Bay,2,1,Win,OT,19,092,45-21-5,W1,0.620
04/10/2022,at,Washington,2,4,Loss,,18,573,45-22-5,L1,0.611
04/12/2022,vs.,St. Louis,2,4,Loss,,17,850,45-23-5,L2,0.603
04/14/2022,vs.,Ottawa,2,3,Loss,,17,850,45-24-5,L3,0.595
04/16/2022,vs.,Pittsburgh,2,1,Win,,17,850,46-24-5,W1,0.600
04/19/2022,at,St. Louis,3,2,Win,OT,18,096,47-24-5,W2,0.603
04/21/2022,at,Pittsburgh,0,4,Loss,,18,350,47-25-5,L1,0.595
04/23/2022,vs.,NY Rangers,3,1,Win,,17,850,48-25-5,W1,0.600
04/24/2022,at,Montreal,5,3,Win,,21,105,49-25-5,W2,0.605
04/26/2022,vs.,Florida,4,2,Win,,17,850,50-25-5,W3,0.610
04/28/2022,vs.,Buffalo,5,0,Win,,17,850,51-25-5,W4,0.615
04/29/2022,at,Toronto,2,5,Loss,,18,219,51-26-5,L1,0.607